"Fuente","Título","Autor","Editorial","ISSN-e","ISSN","ISBN","Volumén","Número","Páginas"
"Artículo","Computational and Data-Enabled Science and Engineering in Mathematical and Statistical Sciences","Xiaoming Huo, Thomas F. Russell, Christopher Stark","AMSTAT news: the membership magazine of the American Statistical Association","","","","","",""
"Artículo","How Big Data Science Can Improve Linkage and Retention in Care","Aadia I. Rana, Michael J. Mugavero","Infectious disease clinics of North America","","","","","","807-815"
"Artículo","Perception of students on blended learning considering data science and machine learning","Ricardo Adán Salas Rueda","Campus Virtuales","","","","","","125-135"
"Artículo","Undergraduate Science and Engineering Students' Understanding of the Reliability of Chemical Data","Bette Davidowitz, Fred Lubben, Marissa Rollnick","Journal of chemical education","","","","","",""
"Artículo","Dados abertos e ciência aberta","Jorge Machado","Ciência Aberta","","","","","","201-228"
"Artículo","Understanding Variations of Soil Mapping Units and Associated Data for Forensic Science","Melissa D. Suarez, Randal J. Southard, Sanjai J. Parikh","Journal of forensic sciences","","","","","","894-905"
"Artículo","Data science e inteligencia artificial. Manual de campo: Ejército futuro","Pablo Julián García-Patos Herreros","Ejército: de tierra español","","","","","","36-42"
"Artículo","Jordan Urges Both Computational, Inferential Thinking in Data Science","","AMSTAT news: the membership magazine of the American Statistical Association","","","","","",""
"Artículo","How One Team Aced an Annual Data Science Hackathon","Abidbhai Marchant, Mustafa Kamal, Jim Li, Ben Lyons, Vijay Peethambaram, Alok Rastogi, Lindsey Schott, Kelly H. Zou","AMSTAT news: the membership magazine of the American Statistical Association","","","","","","20-23"
"Artículo","Weighted Logrank Permutation Tests for Randomly Right Censored Life Science Data.","Michael Brendel, Arnold Janssen, Claus-Dieter Mayer, Markus Pauly","Scandinavian journal of statistics: Theory and applications","","","","","","742-761"
"Artículo","Virtualización de materiales educativos: El caso del Máster en Business Analytics and Data Science","Vanessa Izquierdo Álvarez, José Ignacio Galán Zazo","Inclusión","","","","","","833-841"
"Artículo","What Is Data Science Specialization, and What Can It Do for You?","Steve Pierson","AMSTAT news: the membership magazine of the American Statistical Association","","","","","","14-15"
"Artículo","What I Learned at the Women in Statistics and Data Science Conference","Donna E. LaLonde","AMSTAT news: the membership magazine of the American Statistical Association","","","","","","30-31"
"Artículo","Historians and Social-Science Research Data: the Peter Townsend Collection","J. Charlesworth","History workshop journal","","","","","","206-219"
"Artículo","Analytical thinking as a key competence for overcoming the data science divide","K. Rasheva Yordanova, E. Iliev, B. Nikolova-Damyanova","Edulearn 18. 10th International Conference on Education and New Learning Technology: (Palma","","","","","","7892-7898"
"Artículo","Analysis of data science courses through the prism of the digital divide","I. Kostadinova, P. Petrova, E. Iliev","Edulearn 18. 10th International Conference on Education and New Learning Technology: (Palma","","","","","","3903-3911"
"Artículo","New Master’s or Doctoral Data Science and Analytics Programs","","AMSTAT news: the membership magazine of the American Statistical Association","","","","","","20-27"
"Artículo","Sloan Foundation Funding to Enhance Data Science Expertise in Federal Government","","AMSTAT news: the membership magazine of the American Statistical Association","","","","","",""
"Artículo","Curriculum Recommendations for Growing Number of Two-Year College Data Science Programs","Brad Thompson","AMSTAT news: the membership magazine of the American Statistical Association","","","","","",""
"Artículo","ASA Hosts Summit to Discuss Data Science Curricula for Two-Year Colleges","","AMSTAT news: the membership magazine of the American Statistical Association","","","","","","15-16"
"Artículo","New Master’s or Doctoral Data Science and Analytics Programs II","","AMSTAT news: the membership magazine of the American Statistical Association","","","","","",""
"Artículo","Análise de proteção de dados através de Data Science: Enfoque de mineração de dados","Alberto Adolfo Vanti, Pedro Solana González, María Matilde García Lorenzo","Avances en Educación","","","","","","123-131"
"Artículo","In response to ""Statistics as a Science, not an art: the way to survive in data science"", by Mark van der Laan","Michael Lavine, Christopher Tong","AMSTAT news: the membership magazine of the American Statistical Association","","","","","","34-35"
"Artículo","Quelle place pour la data science et les big data au sein de la statistique publique?","Stéphanie Combes, Pauline Givord","Revue française des affaires sociales","","","","","","117-126"
"Artículo","Data and Data Quality","Thomas C. Redman, Christopher Fox, Anany V. Levitin","Encyclopedia of library and information sciences / coord. por Marcia J. Bates","","","","","","1420-1431"
"Artículo","Data structures and data transformations for clustering chemical data","B. Massart","Trac - trends in analytical chemistry","","","","","","35-41"
"Artículo","Linked Data e Ciência da Informação: diretrizes para a publicação de datasets institucionais abertos","Januário Albino Nhacuongue, Vitor Rozsa, Moisés-Lima Dutra","Biblios: Revista electrónica de bibliotecología","","","","","","20-34"
"Artículo","La avalancha de los datos en la práctica y la comunicación científicas: riesgos e incertidumbres","Miguel Ángel Medina","Eviterna","","","","","","253-265"
"Artículo","Ciência de Dados: Enfoque no Desafio do Processamento","Bornieque Brister Marcovit Pacheco, Marcelo Salton Disconzi","Research","","","","","",""
"Artículo","Avances recientes en la aplicación de la ciencia de datos a la ciberseguridad industrial","Esteban Jove, José Luis Calvo Rolle, Daniel Urda Muñoz, Alvaro Herrero Cosío, Urko Zurutuza Ortega, Valentina Casola","Revista DYNA","","","","","","231-232"
"Artículo","Science teachers’ data use practices: A descriptive analysis","Virginia Snodgrass Rangel, Carlos Monroy, Elizabeth R. Bell","Archivos Analíticos de Políticas Educativas=Education Policy Analysis Archives","","","","","",""
"Artículo","Multivariate data analysis in sensory and consumer science: An overview of developments","","Trends in food science and technology: an official journal of the European Federation of Food Science and Technology ( EFFoST ) and the International Union of Food Science and Technology ( IUFoST )","","","","","",""
"Artículo","A path to an instructional science: Data-generated vs. postulated models","George L. Gropper","Educational technology: The magazine for managers of change in education","","","","","","3-16"
"Artículo","Editorial: Scientific advances in science bibliometric data Basketball: 1990-2015","Sergio Jiménez Saiz, Enrique Ortega Toro","Revista de psicología del deporte","","","","","","7-8"
"Artículo","The interplay between science and statistics in modeling stress-strain curve data","K. Sham Bhat, Michael Hamada, Stephen A. Birdsell","Quality control and applied statistics","","","","","","137-138"
"Artículo","Expectations and Skills for Undergraduate Students Doing Research in Statistics and Data Science ","Jo Hardin","AMSTAT news: the membership magazine of the American Statistical Association","","","","","","29-31"
"Artículo","MINING FAMILY LEARNING DATA: NASA FAMILY SCIENCE NIGHT EXPERIMENT","","Edulearn 10. International conference on Education and New Learning Technology (Barcelona","","","","","","4342-4348"
"Artículo","Data services for the research lifecycle : the Digital Social Science Center","Ashley Jester","Dynamic research support for academic libraries / Starr Hoffman (ed. lit.)","","","","","","69-82"
